"";"P5824";"P5826";"P5828";"P5830";"P5832"
"GO:0005922";1;1;1;1;1
"GO:0016035";1;1;1;1;1
"GO:0005577";1;1;1;1;1
"GO:0034704";1;1;1;1;1
"GO:0097381";0,429059118227477;1;0,331287528700445;1;0,43964444926516
"GO:0005964";1;1;1;1;1
"GO:0097038";1;1;1;1;1
"GO:0035749";1;0,216696149276497;1;1;1
"GO:0045180";1;1;1;1;1
"GO:0031513";1;0,216696149276497;1;1;1
"GO:0001527";1;1;1;1;1
"GO:0032589";1;1;1;1;1
"GO:0016442";0,274010667010118;0,0524903703320925;0,205394043239493;0,0251516775154784;0,0390200761562181
"GO:0000164";1;0,0299558926627494;1;1;1
"GO:0005828";1;1;1;1;1
"GO:0035517";1;1;1;1;1
"GO:0060053";1;1;1;1;1
"GO:0030660";1;1;1;1;1
"GO:0071458";0,21349238416496;1;1;1;1
"GO:0031307";0,115268588667051;0,519481313143206;0,350241701754908;0,385933517348993;1
"GO:0044322";1;1;1;1;1
"GO:0097025";1;1;1;1;1
"GO:0070876";1;1;1;1;1
"GO:0030289";1;1;1;1;1
"GO:0030286";1;1;1;0,300630199436517;1
"GO:0005605";1;1;1;1;1
"GO:0043564";0,0015371485729598;0,00227003553099092;0,000800930310573999;0,00102095711880746;0,00163940110940227
"GO:0000783";0,046075032028845;0,0654001130278689;0,0252671461943114;0,0316617316093385;0,0488450029942838
"GO:0070419";0,00449113196293437;0,00659411545129826;0,00235757234240666;0,00299777356253702;0,00478567907132478
"GO:0046540";1;1;0,10858300918547;1;1
"GO:0071001";1;1;0,0825939116271838;1;1
"GO:0032045";1;0,216696149276497;1;1;1
"GO:0035102";1;1;1;1;1
"GO:0043194";1;0,386472981051252;1;1;1
